review,rating,date,bank,source
Timely and efficient,5,2025-05-24,Chase,Google Play Store
Excellent experience 👏,5,2025-05-24,Chase,Google Play Store
The Best BANK..,5,2025-05-23,Chase,Google Play Store
good,4,2025-05-23,Chase,Google Play Store
"App isn't working and there's no way to let them know, you can call the number in the app but they'll say they can't help.",1,2025-05-23,Chase,Google Play Store
Low interest rates and easy to use app.,5,2025-05-23,Chase,Google Play Store
comes in clutch and is very useful well designed for mobile users,5,2025-05-23,Chase,Google Play Store
Worst customer service. Tasks requires being repeated and having to call customer service multiple times for the same unresolved issue.,1,2025-05-23,Chase,Google Play Store
is it an a certain amount of times you can use the lock and unlock option? everything else work but not that feature. I would give it a 5 but until that is fix then im leaving it at 3. I used it because no matter how many new cards I get someone is always hacked my card and im tired of getting a new debit card. there's no update needed so not sure why it just stop working.,3,2025-05-23,Chase,Google Play Store
thk u,5,2025-05-23,Chase,Google Play Store
Good!,5,2025-05-23,Chase,Google Play Store
Inflexible and poor customer service. I find Citibank much more customer focused.,2,2025-05-23,Chase,Google Play Store
can't use my card,1,2025-05-23,Chase,Google Play Store
"Easy, but I like going into bank to get help",5,2025-05-23,Chase,Google Play Store
The app works when it wants to. It will say that it does not find my username.,2,2025-05-23,Chase,Google Play Store
I never have any problems..,5,2025-05-23,Chase,Google Play Store
easy money,5,2025-05-23,Chase,Google Play Store
"They got rid of the withdrawals being in red and the deposits being in blue. I have loved that feature of Chase banking online for years and now it's gone. Other than that, no complaints...",3,2025-05-23,Chase,Google Play Store
works well as long as I've used it,5,2025-05-23,Chase,Google Play Store
Great but I would have liked to get it sooner.,4,2025-05-23,Chase,Google Play Store
The app works well for me on the go. Can use as well as the website on PC.,5,2025-05-22,Chase,Google Play Store
"The application shows promise, however, enhancements to user-friendliness are recommended, specifically addressing page redundancy. Dark mode implementation is also desired.",4,2025-05-22,Chase,Google Play Store
very good,5,2025-05-22,Chase,Google Play Store
The Chase app makes it simple and convenient to take care of all my banking needs.,5,2025-05-22,Chase,Google Play Store
convenient card access by cell phone and vigilant fraud prevention.,5,2025-05-22,Chase,Google Play Store
great app super fácil de usar,5,2025-05-22,Chase,Google Play Store
Simple to understand.,4,2025-05-22,Chase,Google Play Store
Ads while looking at my past purchases? Are you kidding? I'm dropping this bank.,1,2025-05-22,Chase,Google Play Store
wants too much info.,1,2025-05-22,Chase,Google Play Store
The site is very user-friendly and easy to navigate. I'm a new client about 8 months so I'm still in my honeymoon phase.,5,2025-05-22,Chase,Google Play Store
good,5,2025-05-22,Chase,Google Play Store
"this bank is so corrupt.& greedy btw. if your account is hacked, they will not reimburse. Don't fall for their credit cards! triple interest have a year!! beware !!!",1,2025-05-22,Chase,Google Play Store
Great hospitality and expedient problem solving.,5,2025-05-22,Chase,Google Play Store
Banking on the go. Who could ask for more.,5,2025-05-22,Chase,Google Play Store
AWSOME,5,2025-05-22,Chase,Google Play Store
"if my family members loses her phone or breaks the phone, they could always use the chase mobile app",5,2025-05-22,Chase,Google Play Store
"Never get there credit card, they will reduce your limit without informing you, destroy your credit no matter payment history is 100%, Discover is Best.",1,2025-05-22,Chase,Google Play Store
so far I've had a good experience,5,2025-05-22,Chase,Google Play Store
I love chase best bank ever!!!,5,2025-05-22,Chase,Google Play Store
I don't want any of my information out there,1,2025-05-22,Chase,Google Play Store
"it's very , super slow when trying to zelle.",2,2025-05-22,Chase,Google Play Store
card issue was sorted quickly,5,2025-05-21,Chase,Google Play Store
the app doesn't allow you to open unless you continuously update it. I don't have time to keep updating my phone space so I can access my money.,1,2025-05-21,Chase,Google Play Store
too much bs,1,2025-05-21,Chase,Google Play Store
excellent service,5,2025-05-21,Chase,Google Play Store
doesn't work on ule fone,1,2025-05-21,Chase,Google Play Store
